"Code","Name","Continent","Region","SurfaceArea","IndepYear","Population","LifeExpectancy","GNP","GNPOld","LocalName","GovernmentForm","HeadOfState","Capital","Code2","ID","Name","CountryCode","District","Population"
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",43,"Biskra","DZA","Biskra",128281
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",44,"Blida (el-Boulaida)","DZA","Blida",127284
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",45,"Béjaïa","DZA","Béjaïa",117162
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",46,"Mostaganem","DZA","Mostaganem",115212
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",47,"Tébessa","DZA","Tébessa",112007
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",48,"Tlemcen (Tilimsen)","DZA","Tlemcen",110242
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",49,"Béchar","DZA","Béchar",107311
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",50,"Tiaret","DZA","Tiaret",100118
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",51,"Ech-Chleff (el-Asnam)","DZA","Chlef",96794
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",52,"Ghardaïa","DZA","Ghardaïa",89415
"ASM","American Samoa","Oceania","Polynesia",199.00,NULL,68000,75.1,334.00,NULL,"Amerika Samoa","US Territory","George W. Bush",54,"AS",53,"Tafuna","ASM","Tutuila",5200
"ASM","American Samoa","Oceania","Polynesia",199.00,NULL,68000,75.1,334.00,NULL,"Amerika Samoa","US Territory","George W. Bush",54,"AS",54,"Fagatogo","ASM","Tutuila",2323
"AND","Andorra","Europe","Southern Europe",468.00,1278,78000,83.5,1630.00,NULL,"Andorra","Parliamentary Coprincipality","",55,"AD",55,"Andorra la Vella","AND","Andorra la Vella",21189
"AGO","Angola","Africa","Central Africa",1246700.00,1975,12878000,38.3,6648.00,7984.00,"Angola","Republic","José Eduardo dos Santos",56,"AO",56,"Luanda","AGO","Luanda",2022000
"AGO","Angola","Africa","Central Africa",1246700.00,1975,12878000,38.3,6648.00,7984.00,"Angola","Republic","José Eduardo dos Santos",56,"AO",57,"Huambo","AGO","Huambo",163100
"AGO","Angola","Africa","Central Africa",1246700.00,1975,12878000,38.3,6648.00,7984.00,"Angola","Republic","José Eduardo dos Santos",56,"AO",58,"Lobito","AGO","Benguela",130000
"AGO","Angola","Africa","Central Africa",1246700.00,1975,12878000,38.3,6648.00,7984.00,"Angola","Republic","José Eduardo dos Santos",56,"AO",59,"Benguela","AGO","Benguela",128300
"AGO","Angola","Africa","Central Africa",1246700.00,1975,12878000,38.3,6648.00,7984.00,"Angola","Republic","José Eduardo dos Santos",56,"AO",60,"Namibe","AGO","Namibe",118200
"AIA","Anguilla","North America","Caribbean",96.00,NULL,8000,76.1,63.20,NULL,"Anguilla","Dependent Territory of the UK","Elisabeth II",62,"AI",61,"South Hill","AIA","–",961
"AIA","Anguilla","North America","Caribbean",96.00,NULL,8000,76.1,63.20,NULL,"Anguilla","Dependent Territory of the UK","Elisabeth II",62,"AI",62,"The Valley","AIA","–",595
"ATG","Antigua and Barbuda","North America","Caribbean",442.00,1981,68000,70.5,612.00,584.00,"Antigua and Barbuda","Constitutional Monarchy","Elisabeth II",63,"AG",63,"Saint John´s","ATG","St John",24000
"ARE","United Arab Emirates","Asia","Middle East",83600.00,1971,2441000,74.1,37966.00,36846.00,"Al-Imarat al-´Arabiya al-Muttahida","Emirate Federation","Zayid bin Sultan al-Nahayan",65,"AE",64,"Dubai","ARE","Dubai",669181
